epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,3552.3,2.30436,1.52229,1.06967,0.80004,0.42553,0.58318,0.26499,1.20542,1.58671,0.53867,0.0011288,0.0011288,0.0011288
46,3631.46,2.22574,1.46015,1.04574,0.76489,0.38075,0.50911,0.229,1.24646,1.29981,0.54741,0.001109,0.001109,0.001109
47,3711.62,2.19987,1.47597,1.04136,0.79565,0.48936,0.57311,0.2535,1.26238,1.40584,0.54988,0.0010892,0.0010892,0.0010892
48,3790.68,2.17029,1.42227,1.02833,0.76933,0.49677,0.5895,0.25925,1.19413,1.11499,0.5372,0.0010694,0.0010694,0.0010694
49,3870.49,2.18852,1.41655,1.04112,0.8618,0.53071,0.638,0.28927,1.19523,1.1215,0.54461,0.0010496,0.0010496,0.0010496
50,3949.37,2.17828,1.41417,1.02174,0.68293,0.47872,0.5695,0.24601,1.28902,1.28264,0.55435,0.0010298,0.0010298,0.0010298
51,4029.19,2.2058,1.46241,1.02449,0.7662,0.41841,0.54894,0.25192,1.31497,1.16471,0.5454,0.00101,0.00101,0.00101
52,4108.3,2.13815,1.36616,1.02465,0.85977,0.5,0.60741,0.26012,1.29795,1.48806,0.55297,0.0009902,0.0009902,0.0009902
53,4187.07,2.2109,1.40454,1.03236,0.61426,0.5252,0.56744,0.24361,1.29409,1.24018,0.55012,0.0009704,0.0009704,0.0009704
54,4266.05,2.15853,1.38594,1.00792,0.74177,0.51952,0.60096,0.25232,1.19592,1.30476,0.52626,0.0009506,0.0009506,0.0009506
55,4346.71,2.17154,1.47965,1.02891,0.75817,0.5,0.60491,0.28902,1.19166,1.15966,0.52874,0.0009308,0.0009308,0.0009308
56,4425.74,2.17583,1.35467,1.0193,0.82957,0.5,0.60796,0.27904,1.25352,1.54426,0.54453,0.000911,0.000911,0.000911
57,4504.5,2.16845,1.39821,1.04285,0.76657,0.53191,0.60481,0.26247,1.20574,1.19967,0.54665,0.0008912,0.0008912,0.0008912
58,4583.22,2.05849,1.3737,1.00182,0.72916,0.5442,0.62885,0.30285,1.13719,1.16567,0.52973,0.0008714,0.0008714,0.0008714
59,4663.46,2.13714,1.31644,1.02158,0.74252,0.49089,0.59945,0.26196,1.18055,1.38675,0.53509,0.0008516,0.0008516,0.0008516
60,4742.56,2.11525,1.33895,0.98595,0.71246,0.58511,0.63648,0.28582,1.11811,1.37544,0.52928,0.0008318,0.0008318,0.0008318
61,4821.34,2.04928,1.35176,0.98181,0.95818,0.47872,0.64388,0.29911,1.17233,1.33616,0.53638,0.000812,0.000812,0.000812
62,4900.35,2.06492,1.31484,1.00257,0.82262,0.52128,0.6347,0.27724,1.25842,1.22815,0.54218,0.0007922,0.0007922,0.0007922
63,4980.78,2.07101,1.29282,1.01069,0.87401,0.5,0.61981,0.29681,1.05993,0.95068,0.52052,0.0007724,0.0007724,0.0007724
64,5059.7,2.03909,1.26158,0.9947,0.87136,0.51064,0.62496,0.29489,1.14965,1.1516,0.53411,0.0007526,0.0007526,0.0007526
65,5138.88,2.0625,1.28483,0.97773,0.73842,0.57062,0.60204,0.30748,1.16942,1.22553,0.54499,0.0007328,0.0007328,0.0007328
66,5217.82,2.06744,1.27021,0.99122,0.73781,0.50893,0.57613,0.26119,1.16225,1.08608,0.53988,0.000713,0.000713,0.000713
67,5297.47,2.03555,1.31046,0.99397,0.87504,0.44681,0.59887,0.28087,1.17293,1.19725,0.53326,0.0006932,0.0006932,0.0006932
68,5376.15,2.13292,1.28537,0.99682,0.74069,0.55319,0.63134,0.28948,1.22279,1.06537,0.54162,0.0006734,0.0006734,0.0006734
69,5455.14,2.00266,1.23852,0.98569,0.83393,0.4808,0.60116,0.28431,1.26405,1.13351,0.55123,0.0006536,0.0006536,0.0006536
70,5533.78,2.03295,1.22427,1.02366,0.85296,0.55319,0.64413,0.32125,1.17995,1.29896,0.53377,0.0006338,0.0006338,0.0006338
71,5614.05,2.02747,1.2903,0.98412,0.74285,0.55316,0.65064,0.31238,1.08883,1.25296,0.52625,0.000614,0.000614,0.000614
72,5692.8,1.99704,1.19562,0.98105,0.66603,0.56383,0.60747,0.28833,1.12425,0.92936,0.5271,0.0005942,0.0005942,0.0005942
73,5771.66,1.98198,1.16733,0.96242,0.86784,0.47872,0.64171,0.3238,1.12326,1.01566,0.52825,0.0005744,0.0005744,0.0005744
74,5850.16,1.89492,1.17288,0.94481,0.9239,0.52128,0.65674,0.30607,1.18119,1.06967,0.52952,0.0005546,0.0005546,0.0005546
75,5929.88,1.99783,1.2312,0.97527,0.89304,0.53297,0.65564,0.32252,1.11547,1.18284,0.51576,0.0005348,0.0005348,0.0005348
76,6008.76,1.96382,1.20467,0.97268,0.85432,0.58511,0.68119,0.32103,1.20165,1.15674,0.52627,0.000515,0.000515,0.000515
77,6087.43,1.91942,1.16793,0.96779,0.90904,0.52128,0.66483,0.31049,1.20211,1.10316,0.52978,0.0004952,0.0004952,0.0004952
78,6166.26,1.9635,1.16276,0.95695,0.86001,0.56383,0.66026,0.32539,1.19135,0.96156,0.5329,0.0004754,0.0004754,0.0004754
79,6246.18,1.95861,1.12677,0.96626,0.84805,0.53441,0.65731,0.31769,1.17236,1.11173,0.52899,0.0004556,0.0004556,0.0004556
80,6325.1,1.9233,1.16167,0.97449,0.72924,0.60174,0.64563,0.31034,1.12903,1.097,0.52304,0.0004358,0.0004358,0.0004358
81,6404.07,1.89311,1.11532,0.97788,0.72665,0.59574,0.62997,0.32545,1.15948,1.13207,0.52574,0.000416,0.000416,0.000416
82,6483.28,1.98575,1.21665,0.94885,0.71997,0.58511,0.6502,0.30766,1.17537,1.18315,0.53103,0.0003962,0.0003962,0.0003962
83,6563.14,1.90916,1.12692,0.95225,0.81122,0.5486,0.64818,0.31533,1.22077,1.15474,0.53684,0.0003764,0.0003764,0.0003764
84,6643.37,1.92276,1.13095,0.9709,0.81287,0.55455,0.64387,0.31082,1.16863,1.2169,0.52136,0.0003566,0.0003566,0.0003566
85,6722.78,1.94785,1.11511,0.96653,0.83842,0.55202,0.66,0.3175,1.16532,1.0499,0.52625,0.0003368,0.0003368,0.0003368
86,6801.57,1.93363,1.15477,0.94105,0.86406,0.53191,0.64567,0.32381,1.20276,1.16565,0.53092,0.000317,0.000317,0.000317
87,6881.33,1.86949,1.05345,0.95769,0.97068,0.52128,0.66492,0.32347,1.17276,1.19074,0.52498,0.0002972,0.0002972,0.0002972
88,6961.2,1.90187,1.11742,0.96804,0.91013,0.52128,0.63552,0.30122,1.19566,1.18354,0.52927,0.0002774,0.0002774,0.0002774
89,7040.08,1.83339,1.04624,0.92082,0.9738,0.5,0.64207,0.31152,1.20724,1.09342,0.53026,0.0002576,0.0002576,0.0002576
90,7118.86,1.83534,1.06802,0.94507,0.72517,0.61702,0.66995,0.30749,1.14758,1.04681,0.52594,0.0002378,0.0002378,0.0002378
91,7213.22,1.74336,1.02882,0.91521,0.94156,0.51428,0.62211,0.29228,1.1867,1.18399,0.52757,0.000218,0.000218,0.000218
92,7290.93,1.69647,0.9802,0.89663,0.85728,0.53191,0.63197,0.29966,1.17472,1.11604,0.52871,0.0001982,0.0001982,0.0001982
93,7370.38,1.71645,0.96488,0.92656,0.94028,0.50252,0.63475,0.30633,1.19043,1.11226,0.5274,0.0001784,0.0001784,0.0001784
94,7448.37,1.69113,1.00209,0.93483,0.8721,0.54255,0.65215,0.31621,1.17019,1.10883,0.52602,0.0001586,0.0001586,0.0001586
95,7526.35,1.63585,0.97395,0.90654,0.87198,0.54255,0.63529,0.30599,1.18185,1.01853,0.52596,0.0001388,0.0001388,0.0001388
96,7604.71,1.7357,0.96432,0.92168,0.89197,0.52706,0.63749,0.30309,1.20999,1.06456,0.52849,0.000119,0.000119,0.000119
97,7684.91,1.6564,0.94412,0.92584,0.90796,0.52475,0.6406,0.30317,1.18411,1.0443,0.52168,9.92e-05,9.92e-05,9.92e-05
98,7763.58,1.69507,0.99394,0.9309,0.87769,0.52128,0.62904,0.29847,1.16119,1.03906,0.51954,7.94e-05,7.94e-05,7.94e-05
99,7842.84,1.68871,0.92327,0.91431,0.88506,0.53191,0.63155,0.30105,1.16265,1.02432,0.5219,5.96e-05,5.96e-05,5.96e-05
100,7920.64,1.63518,0.96587,0.92698,0.91979,0.53191,0.64233,0.30192,1.18219,1.06919,0.52426,3.98e-05,3.98e-05,3.98e-05
