epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8095.17,1.98123,1.06041,0.00277,0.70808,0.60638,0.64194,0.29949,1.17577,0.84237,0.00221,0.0004358,0.0004358,0.0004358
81,8143.32,1.94796,1.04336,0.0027,0.72197,0.60638,0.65316,0.33208,1.11417,0.89492,0.0021,0.000416,0.000416,0.000416
82,8191.1,1.9405,1.05324,0.00252,0.73629,0.59406,0.64077,0.32277,1.16389,0.85836,0.00212,0.0003962,0.0003962,0.0003962
83,8239.18,1.91042,1.02302,0.00251,0.76483,0.58819,0.64114,0.32141,1.1689,0.84968,0.00212,0.0003764,0.0003764,0.0003764
84,8287.22,1.94402,1.02613,0.0026,0.74103,0.61702,0.65936,0.34092,1.13409,0.85985,0.00205,0.0003566,0.0003566,0.0003566
85,8335.44,1.9544,1.01171,0.0026,0.72489,0.61669,0.66129,0.34463,1.14116,0.85429,0.00205,0.0003368,0.0003368,0.0003368
86,8383.58,1.9384,1.07868,0.00255,0.84664,0.55319,0.66483,0.35298,1.09548,0.84858,0.00195,0.000317,0.000317,0.000317
87,8431.87,1.90145,0.97978,0.00266,0.77833,0.57447,0.66259,0.34555,1.11204,0.87612,0.00195,0.0002972,0.0002972,0.0002972
88,8480.01,1.94919,1.00545,0.00265,0.75456,0.59574,0.65504,0.32065,1.11356,0.90791,0.00201,0.0002774,0.0002774,0.0002774
89,8528.14,1.86961,0.98835,0.00236,0.78501,0.58511,0.65399,0.33367,1.1167,0.90059,0.00202,0.0002576,0.0002576,0.0002576
90,8576.45,1.85597,1.01256,0.00252,0.77264,0.59574,0.65957,0.33098,1.13555,0.91063,0.00206,0.0002378,0.0002378,0.0002378
